time_start,time_end,model,launch_place,target,carrier,launched,destroyed,source
2022-11-01 01:30,2022-11-02 03:00,Shahed-136/131,,north-east,,6,6,kpszsu/posts/pfbid02Wm6DzLJGCG5rSRJ7MKGNZg2p6bvk2dJu7frZVtVdtPKT1SYg2H6zcqaEUWe2E1Gkl
2022-11-01 12:00,2022-11-01 12:00,Unknown UAV,,Donetsk oblast,,1,1,kpszsu/posts/pfbid02QoLAbTAh8vsMRhyRgMWXJijiwcK2Rf7efCrwtoU8kar2uiAPzGVDywuhpXotuh1Ll
2022-11-01 23:00,2022-11-02 01:00,Shahed-136/131,,east,,13,12,kpszsu/posts/pfbid0283Mw4wfcVDMWsUBohsEc1mP3dKQPKAYa6NCs8Z7EzR3MD1aD6ADtu9WerPTwEDbGl
2022-11-03 22:00,2022-11-04 01:00,Shahed-136/131,,east,,9,9,kpszsu/posts/pfbid0xouRBGCch7kyn4J775vuBzhJPzGbhTxATn2YvNM3vEDLA47TbCJtvJswkbDEDRoYl
2022-11-04 16:00,2022-11-04 16:00,Kalibr,,south,,2,2,kpszsu/posts/pfbid02yZohbWhrTwfjRSE73MQrhdbt8EctQ1JUZrDxo8yJb9ShbD8HxCwjWCT5Qwnf9D8al
2022-11-04,2022-11-04,Unknown UAV,,,,3,3,kpszsu/posts/pfbid02yZohbWhrTwfjRSE73MQrhdbt8EctQ1JUZrDxo8yJb9ShbD8HxCwjWCT5Qwnf9D8al
2022-11-04,2022-11-04,Shahed-136/131,,,,11,11,kpszsu/posts/pfbid02yZohbWhrTwfjRSE73MQrhdbt8EctQ1JUZrDxo8yJb9ShbD8HxCwjWCT5Qwnf9D8al
2022-11-09,2022-11-09,Shahed-136/131,Zaporizhzhia oblast,,,5,5,kpszsu/posts/pfbid02qZmk4NqTpbjF8N2j6Kj6iX5dextMG6KTyUChyWKDcFHJ5oz7qPSUJsrfaiFDWfqul
2022-11-09,2022-11-09,Orlan-10,,,,1,1,kpszsu/posts/pfbid02qZmk4NqTpbjF8N2j6Kj6iX5dextMG6KTyUChyWKDcFHJ5oz7qPSUJsrfaiFDWfqul
2022-11-14 10:00,2022-11-14 11:00,Unknown UAV,,south,,2,2,kpszsu/posts/pfbid0i3v3KWwzHpPZKaShVxi6tFuvhrquVUF3XSttrSh2jJ3NHxRihwhKwiCJjHMe9cWZl
2022-11-15,2022-11-15,X-101/X-555 and Kalibr,Caspian Sea and Volgodonsk and Black Sea,Ukraine,14 x Tu-95MS and Navi,96,75,kpszsu/posts/pfbid05BoLmgkLfpYSvAjw5ahfyvBAZrMK3c6vbLaHSvUoeGndpy8tzJe7dCWUa88YGwD2l
2022-11-15,2022-11-15,X-59,,Ukraine,,2,2,kpszsu/posts/pfbid05BoLmgkLfpYSvAjw5ahfyvBAZrMK3c6vbLaHSvUoeGndpy8tzJe7dCWUa88YGwD2l
2022-11-15,2022-11-15,Shahed-136/131,,Ukraine,,10,10,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
2022-11-15,2022-11-15,Orlan-10,,Ukraine,,1,1,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
2022-11-15,2022-11-15,Orion,,Ukraine,,1,1,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
2022-11-17,2022-11-17,X-101/X-555,Volgodonsk,Ukraine,9 x Tu-95MS,18,4,kpszsu/posts/pfbid0NsigqYjBmu1QbSWfFahzmFLNBseZECyfKNDJFcegvakkun1jCsjJhFisCfLWnpKVl
2022-11-17,2022-11-17,X-59,,south,,2,2,kpszsu/posts/pfbid0NsigqYjBmu1QbSWfFahzmFLNBseZECyfKNDJFcegvakkun1jCsjJhFisCfLWnpKVl
2022-11-17,2022-11-17,Shahed-136/131,Belarus,center,,5,5,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
2022-11-23,2022-11-23,Lancet,,south,,5,5,kpszsu/posts/pfbid0j2bUzhf27gnFdvp1gfoiSP8jAYacevDjmHNT3K7HWNmGE2iW1k8XoowKCSXQvUBZl
2022-11-23,2022-11-23,X-101/X-555 and Kalibr,Caspian Sea and Volgodonsk and Black Sea,Ukraine,10 x Tu-95MS and Navi,70,51,kpszsu/posts/pfbid0j2bUzhf27gnFdvp1gfoiSP8jAYacevDjmHNT3K7HWNmGE2iW1k8XoowKCSXQvUBZl
2022-12-05,2022-12-05,X-101/X-555,Caspian Sea and Volgodonsk,Ukraine,8 x Tu-95MS,38,38,kpszsu/posts/pfbid02WAuaJRnbwHukdqtvidXWFZyPvisky16EmBdGqaY33muC2tPSsbHfPzo8iPzPbh2hl
2022-12-05,2022-12-05,Kalibr,Black Sea,Ukraine,Navi,22,22,kpszsu/posts/pfbid02WAuaJRnbwHukdqtvidXWFZyPvisky16EmBdGqaY33muC2tPSsbHfPzo8iPzPbh2hl
2022-12-05,2022-12-05,X-22,Black Sea,Ukraine,Tu-22M3,3,0,kpszsu/posts/pfbid02WAuaJRnbwHukdqtvidXWFZyPvisky16EmBdGqaY33muC2tPSsbHfPzo8iPzPbh2hl
2022-12-05,2022-12-05,X-59,Black Sea,Ukraine,Su-35,6,0,kpszsu/posts/pfbid02WAuaJRnbwHukdqtvidXWFZyPvisky16EmBdGqaY33muC2tPSsbHfPzo8iPzPbh2hl
2022-12-05,2022-12-05,X-31P,Black Sea,Ukraine,Su-35,1,0,kpszsu/posts/pfbid02WAuaJRnbwHukdqtvidXWFZyPvisky16EmBdGqaY33muC2tPSsbHfPzo8iPzPbh2hl
2022-12-07,2022-12-07,Unknown UAV,south-east,,,2,2,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
2022-12-07,2022-12-07,Orlan-10,south-east,,,1,1,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
